target_id	length	eff_length	est_counts	tpm
YP_081455.1	933	725.24	2847	928.659
YP_081456.1	288	95.7368	0	0
YP_081457.1	336	134.777	0	0
YP_004940329.1	273	84.892	59	164.413
YP_004940330.1	144	19.3261	72	881.328
YP_081458.1	513	305.486	912	706.242
YP_081459.1	705	497.273	5232	2488.99
YP_081460.1	1245	1037.24	0	0
YP_081461.1	882	674.24	0	0
YP_081462.1	657	449.296	0	0
YP_081463.1	180	34.3526	757	5212.99
YP_081464.1	450	242.905	72	70.1207
YP_081465.1	501	293.531	52799	42552.2
YP_081466.1	843	635.273	1232	458.776
YP_081468.2	975	767.24	0	0
YP_081467.1	669	461.296	438	224.618
YP_081469.1	702	494.273	236	112.952
YP_081470.1	765	557.273	131	55.6101
YP_081471.1	819	611.273	1118	432.67
YP_081472.1	1422	1214.24	6185	1205
YP_081473.1	984	776.24	5468	1666.41
YP_081474.1	309	111.664	393	832.587
YP_081475.1	693	485.273	5678	2767.96
YP_081476.1	315	116.723	7769	15745.6
YP_081477.1	1107	899.24	271	71.2925
YP_081478.1	297	102.445	218	503.403
YP_081479.1	1017	809.24	849	248.188
YP_081480.1	372	167.204	637	901.247
YP_081481.1	318	119.286	201927	400458
YP_081482.1	855	647.273	3657	1336.56
YP_081483.2	1077	869.24	6017	1637.54
YP_081484.1	1971	1763.24	49947	6701.13
YP_081485.1	567	359.371	1309	861.682
YP_081486.1	1827	1619.24	1823	266.333
YP_081487.2	2103	1895.24	7652	955.127
YP_081489.1	366	161.613	4273	6254.71
YP_007947989.1	240	64.1128	3352	12368.3
YP_081490.1	1788	1580.24	20000	2994.04
YP_081491.1	3150	2942.24	9561	768.733
YP_081492.1	1239	1031.24	3756	861.621
YP_081493.1	1224	1016.24	14893	3466.86
YP_081494.1	1926	1718.24	18019	2480.83
YP_081495.1	1431	1223.24	2545	492.183
YP_081496.1	1467	1259.24	1803	338.717
YP_081497.1	996	788.24	1970	591.232
YP_081498.1	666	458.296	17863	9220.59
YP_081499.1	237	62.6099	6782	25625.1
YP_081500.1	378	172.852	4584	6273.65
YP_081501.1	1272	1064.24	6380	1418.18
YP_081502.1	1302	1094.24	7805	1687.37
YP_081503.1	2721	2513.24	3495	328.975
YP_081504.1	873	665.24	635	225.811
YP_081505.1	2952	2744.24	621	53.5328
YP_081506.1	6726	6518.24	22314	809.836
YP_081507.1	228	57.1041	1662	6885.16
YP_081508.1	1713	1505.24	4170	655.361
YP_081509.1	1197	989.24	1584	378.795
YP_081510.1	474	266.615	705	625.54
YP_081511.1	2007	1799.24	4673	614.408
YP_081512.1	1131	923.24	8927	2287.4
YP_081513.1	3729	3521.24	19666	1321.21
YP_081514.1	2724	2516.24	5791	544.442
YP_081515.1	2553	2345.24	656	66.1709
YP_081516.1	3708	3500.24	742	50.1483
YP_081517.1	2229	2021.24	9396	1099.7
YP_081518.1	2841	2633.24	2535	227.739
YP_081519.1	1086	878.24	2784	749.905
YP_081520.1	1167	959.24	11048	2724.63
YP_081521.1	408	201.708	21587	25317.4
YP_081522.1	1419	1211.24	2710	529.285
YP_002802310.2	213	48.9523	13605	65746.9
YP_081523.1	2229	2021.24	20143	2357.53
YP_081524.1	978	770.24	2476.64	760.655
YP_081525.1	1911	1703.24	5595.36	777.146
